protein,gene,EN-181-11_T,EN-216-11_T,EN-430-11_T,EN-454-11_T,EN-711-16_T,EN-716-11_T,EN-797-18_T,EN-181-11_N,EN-216-11_N,EN-430-11_N,EN-454-11_N,EN-711-16_N,EN-716-11_N,EN-797-18_N
HNRPM,HNRNPM,284200000,242120000,101090000,92040000,787910000,600010000,907890000,146410000,112630000,71781000,61266000,312710000,121700000,128390000
MYOF,MYOF,37507000,59114000,60134000,13040000,576060000,608490000,200250000,11805000,26874000,49740000,10226000,154110000,169060000,45356000
CO1A1,COL1A1,16636000,684980,37872,112260,24914000,15022000,48435000,NA,637980,2284700,529950,9058500,16082000,3030700
RRBP1,RRBP1,95560000,266040000,285220000,107020000,1063100000,629460000,511430000,19890000,40208000,36616000,26284000,118540000,93174000,44198000
HYOU1,HYOU1,264890000,203340000,348660000,101970000,574700000,584870000,532410000,36191000,67353000,104720000,74161000,114630000,90096000,93838000
COPA,COPA,132500000,99789000,121440000,98454000,646480000,655510000,225650000,28701000,52407000,49211000,40336000,153340000,158110000,108640000
CH60,HSPD1,2071900000,1580600000,3618600000,1837700000,4673800000,4468400000,6982800000,500160000,539480000,533040000,512160000,1574400000,1354600000,744480000
VIGLN,HDLBP,123320000,119080000,127360000,73779000,407950000,396930000,474960000,75476000,57245000,30110000,64158000,140880000,95458000,84026000
ENPL,HSP90B1,1095700000,1641500000,1801500000,681090000,5128900000,3634800000,4001200000,340930000,490460000,467320000,474080000,1559600000,959910000,381410000
SYAC,AARS1,234730000,243670000,182220000,131250000,513060000,1273000000,181550000,63416000,81797000,40381000,61885000,91188000,175790000,69263000
HNRPU,HNRNPU,625000000,991070000,1675600000,465510000,2265400000,2111600000,1556900000,175720000,452740000,191380000,172550000,590270000,332370000,199650000
HNRPL,HNRNPL,336670000,305970000,565200000,113710000,1592700000,1267700000,1466000000,67113000,88227000,49482000,38147000,332500000,398390000,232690000
SND1,SND1,161580000,520080000,967460000,226750000,1064900000,550330000,553790000,79236000,117100000,125150000,116470000,183470000,208710000,88589000
COPB,COPB1,142470000,159550000,424380000,106330000,691730000,624330000,483740000,38982000,58475000,56035000,74379000,223550000,252750000,53582000
COPG1,COPG1,120710000,146020000,94960000,82834000,627950000,574050000,276300000,16582000,29307000,41066000,76986000,162520000,172710000,57083000
PDIA3,PDIA3,2754800000,3132100000,4198300000,1144100000,8269200000,6914600000,4165300000,390410000,788770000,638280000,750170000,1624900000,1797000000,1303200000
IQGA2,IQGAP2,16598000,34144000,4183000,10973000,100070000,69949000,7950000,1168000,2301900,318030,776050,8119100,19969000,1668700
BIP,HSPA5,1464100000,2316400000,878990000,1061800000,5163800000,4158500000,4148800000,276500000,450240000,496590000,345610000,1609900000,964320000,478390000
PARP1,PARP1,125920000,141950000,76355000,55463000,408080000,201830000,242980000,18015000,44898000,62080000,37511000,93427000,77853000,33321000
DHX9,DHX9,222030000,156390000,375090000,77444000,803580000,824830000,802620000,29987000,69361000,49481000,49542000,168420000,97689000,81230000
GANAB,GANAB,284380000,501720000,742420000,161630000,2258400000,1747200000,1157900000,160220000,195990000,218500000,133750000,638750000,624910000,206420000
TRFL,LTF,204280000,1845900000,1472500000,189640000,749820000,789660000,379490000,227590000,227850000,147420000,224140000,229210000,70323000,48285000
PDIA4,PDIA4,406400000,763760000,783650000,241830000,2025800000,1424400000,899390000,62850000,84551000,111270000,92881000,291840000,95175000,116940000
SF3B3,SF3B3,124970000,134610000,475800000,62246000,198880000,298420000,226950000,24750000,44088000,76288000,23081000,75613000,28777000,12959000
ILF3,ILF3,230800000,141510000,24213000,68382000,1313800000,907280000,1845500000,31231000,60238000,44802000,25218000,395450000,187560000,122860000
PGM5,PGM5,62736000,27256000,84106000,39681000,427290000,540830000,43606000,253150000,288600000,266510000,262860000,1435900000,1207100000,858890000
U5S1,EFTUD2,86519000,72671000,259340000,47766000,244730000,240870000,195820000,31434000,43511000,51613000,30607000,65892000,31010000,21648000
HS105,HSPH1,174130000,109330000,885150000,125350000,358790000,367770000,647920000,48266000,29021000,62740000,30893000,116520000,137370000,81658000
ANXA4,ANXA4,1182400000,1122300000,3183500000,617260000,3871700000,2989300000,863510000,202590000,225560000,326760000,246550000,406070000,819250000,437380000
AL1A1,ALDH1A1,671330000,635360000,302250000,694860000,6213000000,3216500000,334800000,67339000,144410000,81917000,153380000,519260000,655910000,363290000
TBA1C,TUBA1C,96854000,36202000,39137000,72496000,426580000,359430000,1437000000,91718000,49437000,96598000,77770000,201390000,55880000,87300000
SF3B2,SF3B2,24022000,76774000,10872000,5768200,327870000,368020000,240100000,1865800,9271900,NA,930510,68414000,29910000,25899000
COPB2,COPB2,107150000,242120000,113050000,131850000,554070000,471110000,386790000,68365000,96424000,101630000,88643000,91978000,101200000,50323000
CNN1,CNN1,392390000,135110000,22421000,63015000,3124800000,4821800000,869980000,1985300000,1806600000,1147600000,1795800000,15780000000,6732300000,13341000000
PIGR,PIGR,11348000,669900000,45515000,165560000,67158000,313130000,33242000,37857000,24928000,1069300,21609000,14643000,19126000,20447000
PERM,MPO,144700000,1000900000,121890000,88883000,253590000,318360000,206460000,123590000,49886000,2632500,31468000,21369000,10390000,15175000
GARS,GARS1,375510000,137470000,244570000,121110000,464540000,421200000,248350000,52141000,79785000,78260000,79345000,119970000,101660000,97377000
TBB3,TUBB3,8286700,3249000,59831000,209650,292270000,80934000,168510000,116350,740790,NA,258050,15612000,18009000,20579000
AT2B1,ATP2B1,1570200,8855200,NA,14145000,16950000,11654000,11886000,2389000,2566600,4164900,2003800,2687700,1304900,2250800
STAT1,STAT1,276680000,373480000,161280000,89989000,496520000,474780000,608830000,66916000,70685000,73427000,46109000,204570000,94102000,61985000
MBB1A,MYBBP1A,13808000,16137000,63553000,18174000,92898000,55067000,171150000,3672400,4455100,12291000,5411600,24325000,26278000,7705500
UBP7,USP7,95795000,91845000,309400000,53485000,197980000,247170000,80238000,14225000,20469000,40123000,30708000,54143000,73127000,57678000
TENS3,TNS3,16543000,20824000,84770000,7902700,88497000,102100000,49243000,1763500,1266600,6520900,273540,5496200,6397100,5997700
PTBP1,PTBP1,790410000,281690000,2755600000,423480000,1275400000,1532100000,1551100000,202690000,300510000,217480000,222010000,427610000,599160000,303380000
PNPT1,PNPT1,19392000,17014000,94021000,17102000,105980000,94886000,65988000,2420400,10577000,15307000,846910,28093000,18858000,8795400
F120A,FAM120A,27891000,13000000,34805000,29159000,106970000,73191000,62446000,2357400,9062600,14098000,6654600,18785000,10550000,9739900
LAMB1,LAMB1,25036000,17740000,225460000,23655000,57509000,75923000,104630000,8706200,12450000,15111000,5419600,12728000,31021000,7872000
CNDP2,CNDP2,255750000,354820000,273720000,327050000,971750000,1112000000,379500000,88932000,131920000,169500000,126790000,273880000,193500000,169040000
ITAV,ITGAV,50618000,30385000,14624000,8410400,119520000,110440000,98155000,8761400,11205000,8166700,8033900,31401000,17531000,10156000
XRCC6,XRCC6,260260000,342620000,585810000,227480000,856700000,1033700000,926770000,104430000,107070000,145250000,122760000,360930000,209950000,135060000
ERAP1,ERAP1,48790000,127230000,806450000,32623000,273220000,313890000,91336000,60046000,91408000,81619000,37225000,67196000,90119000,40648000
HCFC1,HCFC1,44773000,45456000,4538200,16254000,178530000,188510000,105490000,5041100,7007900,11942000,12447000,64796000,51316000,20471000
LAP2A,TMPO,13739000,1078500,16771000,8177200,47297000,88353000,89577000,2706400,5526600,4991800,5984000,15596000,4098200,3628300
PDS5B,PDS5B,9947300,15339000,86263000,7060300,43360000,22196000,37219000,6747200,6894300,3962900,4169000,6466800,9987800,4046500
GSLG1,GLG1,23163000,82305000,31649000,25493000,166360000,146800000,134220000,8591800,14587000,2943700,14759000,35895000,47969000,39374000
NU133,NUP133,19723000,4019000,122360000,8627000,54990000,96670000,78099000,4301200,2077700,1018700,2694300,37680000,26369000,22935000
MATR3,MATR3,326290000,108900000,584810000,90821000,552840000,614520000,593830000,47322000,82195000,31057000,36130000,140560000,152290000,68919000
CATD,CTSD,708360000,2729900000,6125600000,406610000,3010700000,2524500000,1191900000,228500000,248260000,317830000,189490000,603610000,541780000,317440000
ITA6,ITGA6,73597000,69880000,192490000,20454000,129860000,76877000,97630000,17261000,22616000,55671000,7116300,44304000,17721000,17112000
RPN1,RPN1,338420000,513410000,501490000,146320000,884650000,884530000,895760000,92932000,116580000,165490000,119980000,261000000,225510000,131960000
NUCL,NCL,1193800000,1060300000,1969700000,582840000,1244500000,1069500000,2714200000,292280000,377130000,336430000,319490000,599480000,211230000,178720000
TRIPC,TRIP12,718830,4590500,48778000,4283100,29212000,37704000,56952000,2570400,1162400,3167500,3705200,14251000,20965000,8815900
K2C7,KRT7,108590000,316490000,14765000,18422000,487850000,1195100000,44239000,50218000,82594000,54269000,27848000,15429000,7870600,69122000
DHX15,DHX15,89691000,111800000,403410000,98704000,202850000,218230000,131680000,40364000,25712000,19088000,55081000,48896000,49633000,27436000
PTPRC,PTPRC,39469000,178830000,29009000,15922000,143030000,162000000,89454000,25937000,34419000,19609000,20958000,71785000,10564000,12672000
HNRPR,HNRNPR,322010000,311500000,130940000,173150000,826280000,921790000,712780000,86640000,126710000,108010000,90048000,240650000,161470000,95913000
SERPH,SERPINH1,342290000,96992000,458930000,111590000,1278800000,1535900000,1997800000,22852000,28316000,16647000,16784000,84861000,210720000,51155000
ADH1B,ADH1B,173030000,136950000,9327500,54509000,1394200000,308570000,457770000,985500000,930510000,122100000,443610000,3818600000,2930900000,957410000
ABCF1,ABCF1,53901000,45764000,49179000,16317000,92447000,102480000,149670000,21368000,7920300,13372000,7675900,41302000,23147000,17871000
SMHD1,SMCHD1,18472000,13890000,3831600,10660000,16479000,34122000,15077000,1664200,2484900,1812500,1801900,3680400,5614400,1503200
TFR1,TFRC,135440000,96803000,255690000,56744000,179810000,249600000,229160000,19495000,16922000,49069000,17953000,48698000,32061000,11002000
PDIA6,PDIA6,1184300000,1416500000,5738400000,418150000,1743100000,3450100000,2931900000,225940000,323840000,478080000,326640000,728170000,839650000,346960000
ANXA3,ANXA3,153550000,336360000,343960000,137340000,766330000,1080400000,459690000,45786000,67367000,89411000,109780000,124970000,173270000,54578000
EST1,CES1,41497000,80867000,1867200000,36144000,299130000,102830000,158840000,26339000,108520000,65093000,60532000,238020000,287330000,36776000
KCRB,CKB,111960000,149930000,9874600,17383000,1881300000,1735600000,64451000,871140000,962850000,661730000,1279400000,2392500000,7159300000,3594400000
CALR,CALR,2370900000,3267000000,1820200000,1261000000,6501000000,6164400000,8580100000,649060000,771940000,546270000,751850000,1751600000,1956600000,1941100000
CALX,CANX,976060000,483520000,6877600000,589740000,1885500000,1857900000,2477600000,382290000,522320000,554730000,456050000,879370000,611420000,437080000
UBP24,USP24,1754000,2999100,5780500,495050,30532000,9837400,66982000,319160,1444100,3439000,913040,10074000,5266300,2000200
ZCCHV,ZC3HAV1,11219000,11389000,123400000,23641000,126610000,87442000,63975000,9074100,6802900,14822000,7266600,47639000,40902000,10998000
ASSY,ASS1,442980000,252210000,725780000,351860000,819400000,134170000,126430000,61738000,28801000,103340000,42755000,145150000,66532000,110420000
HNRPK,HNRNPK,972030000,757540000,2645600000,613370000,2905900000,2482300000,2154000000,306000000,556150000,402900000,349260000,934770000,860460000,558540000
DDX21,DDX21,51663000,62488000,84631000,18030000,105820000,65673000,108350000,11833000,11850000,5791500,2710800,15642000,21156000,5321600
SART3,SART3,17707000,22846000,54979000,13149000,94214000,104140000,56604000,8294400,9490600,11901000,6991800,19290000,24502000,12350000
HNRPF,HNRNPF,553700000,667740000,698330000,286370000,1287400000,1438800000,809640000,141580000,178260000,149740000,122470000,256180000,245120000,100850000
ADH7,ADH7,3663000,7101100,4635800,4895700,75020000,9517200,617770000,105470000,515990000,136930000,181690000,1378800000,3759100000,748600000
AIFM1,AIFM1,157980000,295200000,589230000,122990000,762970000,541480000,254720000,111480000,149020000,147880000,204930000,105240000,86594000,49552000
SYWC,WARS1,741190000,986130000,183820000,169630000,1092200000,2154300000,677220000,144780000,362070000,83272000,101760000,358930000,483380000,263060000
MA2A1,MAN2A1,24659000,50306000,14290000,16519000,80714000,40085000,72266000,2184800,10166000,10108000,5525200,14853000,26783000,14610000
DDX5,DDX5,109990000,47712000,106030000,72140000,335680000,233590000,647400000,41379000,22599000,49690000,27138000,66557000,37575000,33464000
AL3A1,ALDH3A1,17999000,82184000,13708000,14229000,363320000,100500000,537560000,277400000,742470000,531810000,1244600000,1617700000,3330900000,1503700000
SCMC1,SLC25A24,57929000,119690000,51256000,26732000,481810000,389060000,189080000,21574000,26553000,86232000,19551000,76961000,59533000,29501000
SAE2,UBA2,93650000,70170000,138450000,35928000,298150000,245730000,295970000,17207000,25514000,16737000,19658000,109050000,68493000,43216000
ADAS,AGPS,38165000,24015000,168400000,23827000,41120000,81592000,125190000,6244000,11789000,26367000,14320000,43199000,27055000,22521000
I2BP2,IRF2BP2,1897900,9918300,8806700,8101000,118240000,99363000,110720000,2362400,4460800,2274600,2452100,38617000,NA,10669000
PERE,EPX,117810000,113270000,28095000,19258000,396000000,53767000,143180000,20849000,25561000,17486000,22629000,40447000,13590000,7684100
CORO7,CORO7,61978000,108260000,79590000,19487000,189790000,148750000,80953000,7887300,7224400,29129000,19082000,48427000,55098000,46870000
CCAR2,CCAR2,69960000,75531000,296280000,16748000,166670000,199680000,114480000,21607000,23435000,24519000,19576000,79804000,63114000,44382000
S2513,SLC25A13,34399000,31735000,489860000,101370000,513380000,252560000,142520000,8266400,21195000,27510000,15577000,57830000,45885000,30660000
DX39B,DDX39B,43606000,12219000,46518000,111960000,242940000,486500000,718250000,28019000,39252000,35923000,27889000,113030000,35153000,79920000
SC24B,SEC24B,12684000,24445000,49583000,15681000,48264000,33902000,17636000,4606900,5743900,6430400,4597900,4902500,7344400,2479400
ARHG2,ARHGEF2,11116000,10816000,NA,3971100,15024000,14235000,5646100,2419700,3934200,1633000,2074900,NA,2392400,2431700
COPD,ARCN1,302990000,247520000,122070000,103010000,370390000,377040000,209790000,22750000,61539000,98198000,62001000,92994000,98891000,88171000
NPM,NPM1,847790000,840740000,3856000000,698180000,3358400000,2886400000,7074000000,352460000,593090000,395000000,415150000,2007400000,1245900000,513120000
CSKP,CASK,13056000,63625000,15634000,15398000,165620000,66065000,71364000,6653500,7682600,3861500,6962100,18971000,12170000,7618600
BPNT1,BPNT1,49478000,52269000,216610000,33612000,461370000,330780000,128980000,18350000,24329000,45637000,21024000,142210000,67597000,32956000
CPT1A,CPT1A,47590000,68211000,92339000,72179000,210380000,220590000,72422000,9065700,15327000,10328000,11404000,28425000,35705000,20581000
ADT2,SLC25A5,585270000,408430000,2371400000,435350000,1340800000,697450000,1154900000,165250000,219160000,258870000,228960000,369600000,131160000,168210000
NCLN,NCLN,13707000,50548000,48244000,2513900,129160000,95248000,70609000,2580400,7537400,6381000,3916200,31674000,24575000,14895000
MAOM,ME2,52971000,128000000,115340000,163330000,445660000,173050000,148280000,37969000,53734000,29500000,33480000,103680000,86174000,35630000
LAP2B,TMPO,59734000,15536000,71185000,72393000,227100000,243930000,343180000,24894000,30811000,30619000,50293000,78270000,36479000,28994000
EF1D,EEF1D,216420000,153070000,824580000,135410000,2177400000,1391000000,3531500000,113590000,129290000,264890000,114110000,669510000,850060000,248060000
IPYR2,PPA2,17616000,106130000,61113000,122940000,696790000,432250000,638920000,42833000,58892000,71868000,62521000,113780000,178410000,90126000
LIMA1,LIMA1,26465000,8285000,20068000,31335000,145110000,192530000,178910000,23216000,2894800,25100000,14763000,52116000,29224000,6650600
SPRR3,SPRR3,4171900,3447500,93157,7055900,146480,20533000,1246300000,137890000,534350000,360770000,1075600000,1129200000,1680100000,1260800000
BCAS1,BCAS1,1920400,1648300,148570,6055100,91589000,76406000,13511000,10321000,1892000,1677800,7619400,1357000,3886200,601050
NONO,NONO,80725000,150210000,320540000,68084000,437970000,534870000,678760000,51510000,84901000,73024000,54831000,222290000,118010000,48913000
PDE12,PDE12,7754200,14065000,16943000,29283000,84632000,58779000,61647000,3654200,7791200,10748000,13224000,22412000,13695000,10360000
AK1C3,AKR1C3,6556800,45359000,306150000,27845000,1211800000,207440000,182360000,16193000,23738000,29027000,24344000,51284000,81513000,43155000
XPP1,XPNPEP1,106010000,130320000,400360000,47043000,325890000,246840000,6408100,28034000,32757000,48090000,32864000,15462000,47053000,26403000
PRP6,PRPF6,19499000,16299000,12480000,10246000,55410000,34044000,62973000,3872800,7081200,7574900,4324100,21136000,14093000,4676900
SP16H,SUPT16H,27434000,45913000,104250000,17761000,104100000,105210000,158550000,3086600,7803800,18868000,7162100,38054000,34311000,16746000
TPM4,TPM4,305450000,301980000,274410000,231630000,1289400000,1462500000,1825800000,144690000,125760000,295260000,157420000,188880000,554090000,157750000
LDB3,LDB3,3672700,1982100,4460500,11627000,19521000,34443000,1036100,17714000,24890000,18843000,21241000,85507000,126250000,60218000
TXND5,TXNDC5,382600000,1717000000,299550000,237730000,1495700000,1319400000,1200800000,142010000,219930000,90596000,117460000,548790000,255050000,340030000
COPE,COPE,106430000,169960000,160460000,99761000,622590000,535540000,546260000,50741000,62679000,74664000,60103000,209600000,123060000,73774000
LG3BP,LGALS3BP,316750000,472410000,3058100000,90467000,1253300000,511240000,207670000,58932000,73508000,69630000,48714000,158490000,96695000,100170000
PTBP3,PTBP3,24270000,4705800,13777000,6281200,179630000,131320000,117280000,7443000,10704000,8166700,4800100,60659000,36332000,10975000
APEX1,APEX1,199440000,201300000,1467600000,130230000,873340000,938990000,489480000,91570000,114400000,95962000,109590000,270820000,351310000,248900000
ANM1,PRMT1,159350000,136480000,256040000,57434000,250920000,256640000,599170000,39412000,58250000,51470000,39895000,139020000,66843000,39552000
SPB13,SERPINB13,6042800,9939500,6029200,3284100,55215000,27228000,194750000,25658000,83086000,124480000,111910000,199250000,324170000,122570000
CD2AP,CD2AP,39262000,21085000,16573000,41053000,174690000,278490000,28608000,4454700,9510000,16187000,15066000,54236000,27677000,22348000
HEXA,HEXA,49968000,89553000,10403000,28144000,108220000,146480000,64930000,30316000,25537000,10767000,20679000,19146000,40871000,4679400
HNRH1,HNRNPH1,83299000,80673000,33184000,64641000,394210000,316330000,907930000,31446000,45535000,59537000,28280000,162740000,170400000,77251000
PAK2,PAK2,48376000,18850000,13906000,62090000,239290000,190660000,196020000,22399000,20619000,5928200,22876000,53832000,51519000,36869000
PUF60,PUF60,139540000,88806000,317040000,44577000,521770000,425510000,761960000,28812000,46104000,32814000,31487000,150900000,169870000,59683000
GLYM,SHMT2,63523000,97348000,180700000,37750000,256190000,310980000,313030000,26613000,29441000,54650000,23973000,105720000,80297000,38705000
OAS3,OAS3,25091000,90625000,131400000,13216000,139390000,165150000,58714000,33383000,16125000,17793000,14649000,31313000,28604000,20392000
HSPB1,HSPB1,1579500000,832080000,414960000,377160000,3284000000,3263300000,9460400000,3543700000,6153900000,6736500000,7225900000,11817000000,23504000000,9487400000
GLU2B,PRKCSH,254940000,289320000,58880000,148320000,757400000,913290000,1367100000,58022000,139380000,101780000,129920000,262340000,169100000,165880000
COR1A,CORO1A,68999000,237730000,7857000,25656000,167170000,287700000,231380000,49124000,41571000,47604000,16998000,50675000,18037000,12329000
VDAC1,VDAC1,759610000,1087800000,346230000,1147200000,2903000000,2884300000,2028300000,132340000,229030000,328230000,177950000,540330000,539850000,353390000
FUBP3,FUBP3,16039000,2580300,13036000,7486300,183110000,158360000,177460000,2098900,3246200,6347200,2413100,89011000,39284000,20161000
TAP1,TAP1,133630000,138870000,140960000,63666000,297280000,429010000,413490000,11073000,39836000,13333000,11824000,87441000,14584000,17341000
LYAG,GAA,31046000,47586000,13850000,9844200,155430000,113700000,45475000,7851100,17062000,17899000,9407600,33371000,12669000,11072000
ASAH1,ASAH1,109420000,717640000,356530000,111570000,521550000,775300000,250800000,43519000,62405000,109550000,31081000,223420000,265610000,115120000
MYL9,MYL9,41018000,44136000,16372000,13790000,213580000,318180000,265260000,177050000,235830000,257270000,295930000,1135900000,1471700000,749840000
S23IP,SEC23IP,20179000,39046000,15099000,18242000,100850000,111170000,81079000,10359000,10161000,10716000,12596000,34516000,31601000,11969000
VPS51,VPS51,6856100,8581200,9613500,3728200,43805000,31344000,8724900,1593000,4355300,2632500,2875400,8512700,10960000,4286400
MAP2,METAP2,18716000,5340300,4962400,3222200,210560000,91473000,209390000,2508700,5312700,7578900,3692300,45692000,4485200,12115000
ILF2,ILF2,253920000,151640000,202720000,140390000,740460000,599930000,899420000,66315000,96910000,40269000,48119000,235690000,137110000,81993000
COG3,COG3,329530,4131100,8212900,5332600,29143000,28805000,32101000,3316100,4369300,2841500,4627100,8527300,3755900,2195900
FAD1,FLAD1,16822000,11120000,28928000,16019000,65115000,35687000,15936000,7754400,4748400,13394000,2692800,9330300,13262000,3663700
CLIC1,CLIC1,2726100000,1276200000,3047300000,1036300000,5547000000,4723700000,4840500000,544680000,771560000,812300000,1014900000,1687400000,1410000000,840890000
SF3A3,SF3A3,60001000,63967000,88373000,26562000,112920000,157760000,134480000,13474000,10369000,17144000,10015000,27713000,5817400,6194800
PRP19,PRPF19,213990000,130100000,211290000,116070000,466160000,808020000,728810000,78384000,129040000,90235000,115100000,128680000,94154000,79497000
FND3A,FNDC3A,10251000,26276000,18633000,5430600,47800000,32327000,13196000,2361500,2127200,1993200,513280,3442500,8127800,7438500
ARLY,ASL,16882000,30025000,11608000,31174000,403880000,96422000,77861000,11837000,6393800,10840000,6628500,19611000,24529000,6164900
RPIA,RPIA,43765000,58284000,101760000,18924000,99121000,33754000,65477000,10696000,19987000,10121000,14747000,11013000,29925000,6203600
PRELP,PRELP,90242000,28650000,28648000,33688000,159240000,177850000,100290000,427420000,318330000,439500000,333720000,1190700000,1300200000,540990000
SC24D,SEC24D,24291000,23982000,26567000,26609000,128310000,151350000,77948000,1264000,4906700,668650,NA,3556200,11662000,6614500
MMP9,MMP9,28833000,76691000,149670000,18457000,73270000,58063000,55982000,21202000,9657900,3537400,10783000,7551600,33181000,13087000
IDH3G,IDH3G,41779000,31939000,90643000,29077000,195440000,291770000,126410000,13944000,14968000,13566000,9814600,106870000,41088000,48278000
SRSF1,SRSF1,253970000,228320000,78077000,142720000,418620000,426720000,488340000,69100000,100020000,99174000,67566000,88673000,93166000,88388000
PPIB,PPIB,800890000,853540000,157800000,309710000,2507800000,1969600000,2563400000,177900000,235660000,387340000,209780000,680720000,679870000,345200000
DAAF5,DNAAF5,13866000,2609900,10580000,694760,15794000,22531000,13498000,307670,662220,1089900,400870,4984300,1709800,5252200
NNRD,NAXD,594210000,437700000,53589000,13736000,101730000,76364000,24085000,23460000,25127000,9934400,15836000,35381000,47832000,19368000
ABCD3,ABCD3,48907000,57011000,168170000,38828000,186270000,230630000,113070000,14419000,13385000,30248000,29534000,49122000,54625000,18053000
EFHD2,EFHD2,61431000,136520000,36184000,42570000,220250000,226050000,156110000,25290000,21510000,38579000,26013000,30078000,18692000,16995000
UN13D,UNC13D,1165200,2442600,2610200,3307900,19162000,19328000,39167000,280930,1106300,1255200,907120,11207000,5780500,6107000
PP1G,PPP1CC,16129000,3920700,8250200,11690000,100590000,146160000,81334000,3815800,5100400,6766200,2976000,34933000,30511000,12451000
IMA1,KPNA2,168760000,15040000,24471000,15935000,73440000,45514000,110460000,4542800,1303900,1816300,1382900,8692300,12252000,5475800
U2AF2,U2AF2,209650000,162560000,460460000,65041000,702520000,718560000,819660000,27281000,66333000,61366000,46297000,241550000,130850000,94374000
HNRH2,HNRNPH2,76146000,84263000,273650000,28607000,441230000,463310000,291320000,15004000,31229000,20998000,16351000,91240000,33697000,23269000
PI4KA,PI4KA,18037000,24314000,NA,6106200,3446300,692990,1113400,3087400,96796,327490,1226300,1587400,3451200,217950
TIM44,TIMM44,41602000,37428000,80744000,25766000,125160000,132370000,166020000,12467000,17138000,22376000,14167000,52483000,37393000,26217000
SSDH,ALDH5A1,10590000,2314700,27290000,21867000,118520000,178180000,29680000,2891000,6657800,3437700,12655000,13150000,34025000,7052700
DDAH2,DDAH2,96783000,36622000,290130000,33374000,363620000,577730000,339160000,52558000,80771000,67032000,79713000,59731000,92973000,45157000
DDAH1,DDAH1,71934000,216150000,452170000,72049000,678630000,361130000,138790000,49615000,17761000,39484000,71395000,112670000,90019000,53088000
FAM3C,FAM3C,35332000,71951000,46872000,12711000,100800000,121610000,102500000,7149400,12671000,4953800,3602400,46514000,14206000,13764000
SFXN3,SFXN3,44249000,40145000,50078000,29252000,202000000,232480000,117210000,27034000,15491000,18005000,12524000,48843000,59922000,30323000
IGHG1,IGHG1,17712000,1058100000,31975000,43443000,292820000,53066000,143890000,11166000,11189000,14195000,21972000,32350000,5400200,11347000
MTCH2,MTCH2,88537000,68545000,246140000,89045000,452490000,311960000,222250000,27782000,38812000,59693000,35423000,89409000,89335000,68329000
SCPDL,SCCPDH,33085000,52690000,24187000,56925000,265610000,169980000,53391000,5998400,9384400,2493300,3342300,25180000,33161000,14483000
AL1A3,ALDH1A3,1241200,11320000,5840900,1137700,77641000,99722000,39507000,3720300,3954800,13688000,6911800,11234000,13197000,6822100
TXLNA,TXLNA,5383600,3073700,NA,3601400,26473000,27350000,64201000,1873900,NA,3169200,529450,5298400,9863900,3477600
S10A9,S100A9,1022100000,3981000000,1201800000,615540000,5517300000,5362400000,20766000000,2316600000,7383200000,2846500000,6067500000,64184000000,20754000000,19243000000
RBBP7,RBBP7,84327000,60033000,6683200,26710000,315590000,252370000,391110000,13977000,18312000,2575500,20017000,117010000,92697000,56572000
TR150,THRAP3,2488000,3688300,13997000,10420000,215060000,98922000,424460000,122730,10256000,38824000,7049900,54377000,54631000,48712000
CBR3,CBR3,12254000,11579000,2159800,5428000,34420000,19636000,129070000,64153000,93371000,92737000,81859000,103380000,219980000,81312000
FMNL1,FMNL1,7923000,13448000,54567000,7140400,59543000,54239000,34932000,1851400,9898300,6913800,3390200,23926000,20658000,2150000
LSP1,LSP1,307900,39689000,NA,21181000,276570000,314770000,286240000,8490200,13867000,15010000,7377300,103930000,36269000,51728000
HNRPC,HNRNPC,342410000,319810000,202610000,147740000,761530000,872970000,1229500000,53122000,98450000,41103000,20159000,301450000,54903000,96043000
CNN2,CNN2,131510000,134740000,251010000,53130000,597700000,542230000,1056800000,83407000,95861000,75470000,55470000,209010000,148880000,70842000
EI2BE,EIF2B5,13233000,21905000,6074400,5203400,98313000,54504000,67572000,3114900,7650700,6444000,13426000,15486000,14056000,7776500
LMAN1,LMAN1,44222000,178970000,108420000,77857000,927510000,411420000,985310000,19408000,41414000,29288000,29670000,256270000,198660000,82498000
TBL2,TBL2,14959000,23786000,5960400,22222000,146850000,95402000,73695000,7780600,9299000,11286000,8681700,23066000,26937000,9743700
TAP2,TAP2,74812000,87027000,148070000,46488000,106780000,133930000,70682000,4866200,23481000,5622600,4178200,36721000,7265000,10279000
RNZ2,ELAC2,13667000,4252300,22951000,10955000,36329000,53573000,43150000,3354500,1323100,1817100,3564200,9065100,13934000,7361400
RAVR1,RAVER1,23049000,26071000,44457000,4557900,170970000,83206000,109810000,2666300,2434400,1274000,1361200,35285000,17700000,23513000
CAH2,CA2,282120000,615970000,330430000,1501200000,8316900000,960490000,1063700000,192070000,266740000,330080000,264850000,813790000,598340000,214240000
GMDS,GMDS,124820000,222630000,120520000,243370000,402630000,601050000,83128000,28478000,30546000,21822000,21217000,32264000,55623000,11180000
NQO1,NQO1,89556000,304380000,68132000,299080000,2207900000,136650000,305460000,22792000,118530000,45239000,104850000,369560000,224580000,140310000
FAKD4,TBRG4,33514000,29893000,105230000,64689000,125090000,84035000,30452000,26538000,22921000,5709600,9907900,22628000,17383000,14064000
RBBP4,RBBP4,96577000,103920000,63665000,38476000,373710000,283930000,433150000,26837000,35696000,22825000,16422000,103470000,107530000,51158000
